# Auto-generated large-scale trimester data
# 500 patients over 90-day trimester, time horizon 120

set c := c1 c2 c3 c4;
set h := h1 h2 h3 h4;
set j := j1 j2;
set m := m1 m2 m3 m4 m5 m6;
set p := p229 p417 p162 p179 p32 p300 p149 p387 p427 p288 p364 p183 p223 p21 p494 p3 p15 p459 p479 p433 p14 p102 p470 p235 p500 p49 p341 p63 p443 p416 p440 p133 p261 p285 p411 p320 p297 p317 p266 p314 p326 p319 p100 p188 p232 p141 p221 p485 p62 p106 p194 p234 p330 p332 p376 p237 p281 p369 p429 p230 p363 p84 p54 p67 p191 p343 p192 p328 p289 p42 p11 p16 p132 p412 p69 p253 p265 p254 p44 p284 p368 p41 p269 p449 p167 p8 p392 p396 p468 p157 p2 p134 p151 p395 p495 p184 p428 p218 p52 p336 p197 p245 p357 p374 p419 p439 p196 p129 p393 p118 p7 p275 p437 p116 p38 p174 p310 p398 p454 p135 p431 p33 p137 p325 p90 p422 p466 p75 p160 p176 p380 p456 p201 p298 p87 p291 p165 p457 p497 p460 p277 p329 p61 p481 p271 p311 p252 p272 p173 p209 p473 p23 p445 p78 p402 p351 p404 p17 p313 p110 p206 p39 p107 p243 p295 p371 p97 p6 p478 p28 p128 p220 p228 p472 p65 p101 p233 p477 p18 p226 p68 p189 p290 p334 p354 p187 p239 p455 p5 p89 p249 p377 p270 p338 p119 p219 p447 p280 p464 p410 p147 p117 p373 p421 p122 p202 p302 p350 p394 p163 p355 p407 p499 p48 p496 p93 p105 p465 p154 p399 p80 p37 p278 p486 p31 p71 p415 p4 p240 p484 p379 p304 p400 p66 p158 p56 p312 p169 p390 p383 p360 p441 p186 p210 p476 p109 p349 p353 p318 p362 p103 p181 p99 p461 p493 p418 p483 p236 p222 p403 p36 p40 p156 p268 p46 p375 p475 p487 p45 p77 p257 p450 p444 p185 p74 p442 p59 p127 p214 p378 p434 p175 p76 p53 p469 p70 p43 p143 p299 p92 p301 p142 p113 p356 p126 p482 p490 p211 p267 p335 p104 p296 p458 p462 p251 p259 p292 p452 p27 p344 p13 p205 p305 p425 p258 p414 p35 p139 p124 p276 p438 p159 p256 p381 p282 p215 p423 p29 p217 p274 p161 p361 p365 p50 p474 p115 p303 p72 p145 p91 p279 p260 p250 p199 p471 p248 p294 p322 p193 p293 p309 p409 p182 p242 p131 p112 p166 p19 p171 p323 p164 p372 p408 p489 p130 p238 p327 p216 p348 p146 p178 p386 p203 p324 p121 p153 p273 p370 p51 p195 p88 p492 p177 p10 p26 p382 p207 p287 p244 p316 p432 p225 p389 p397 p55 p283 p148 p200 p424 p436 p22 p426 p307 p451 p96 p120 p337 p190 p347 p367 p108 p246 p247 p60 p125 p321 p346 p498 p123 p315 p339 p435 p30 p227 p12 p224 p331 p140 p144 p180 p340 p85 p401 p47 p20 p172 p204 p384 p453 p58 p342 p366 p57 p231 p136 p168 p1 p73 p413 p86 p94 p170 p406 p420 p114 p83 p155 p359 p264 p488 p213 p385 p286 p111 p263 p24 p345 p198 p255 p391 p64 p308 p480 p241 p358 p79 p463 p212 p352 p388 p448 p9 p333 p262 p491 p405 p82 p98 p138 p150 p446 p152 p430 p95 p208 p25 p81 p34 p306 p467;

param CIM :=
m1 2216.13
m2 16621.00
m3 5540.33
m4 2216.13
m5 16621.00
m6 5540.33
;

param CVM :=
m1 20920
m2 156900
m3 52300
m4 20920
m5 156900
m6 52300
;

param FCAP :=
m1 4
m2 31
m3 10
m4 4
m5 31
m6 10
;

param TT1 :=
j1 1
j2 2
;

param TT3 :=
j1 1
j2 2
;

param U1 :=
p343 c3 11 1
p192 c4 11 1
p328 c4 11 1
p289 c1 12 1
p42 c2 12 1
p11 c3 12 1
p16 c4 12 1
p132 c4 12 1
p412 c4 12 1
p69 c1 13 1
p253 c1 13 1
p265 c1 13 1
p254 c2 13 1
p44 c4 13 1
p284 c4 13 1
p368 c4 13 1
p41 c1 14 1
p269 c1 14 1
p449 c1 14 1
p167 c3 14 1
p8 c4 14 1
p392 c4 14 1
p396 c4 14 1
p468 c4 14 1
p157 c1 15 1
p2 c2 15 1
p134 c2 15 1
p151 c3 15 1
p395 c3 15 1
p495 c3 15 1
p184 c4 15 1
p428 c4 15 1
p218 c2 16 1
p52 c4 16 1
p336 c4 16 1
p197 c1 17 1
p245 c1 17 1
p357 c1 17 1
p374 c2 17 1
p419 c3 17 1
p439 c3 17 1
p196 c4 17 1
p129 c1 18 1
p393 c1 18 1
p118 c2 18 1
p7 c3 18 1
p275 c3 18 1
p437 c1 19 1
p116 c4 19 1
p38 c2 20 1
p174 c2 20 1
p310 c2 20 1
p398 c2 20 1
p454 c2 20 1
p135 c3 20 1
p431 c3 20 1
p33 c1 21 1
p137 c1 21 1
p325 c1 21 1
p90 c2 21 1
p422 c2 21 1
p466 c2 21 1
p75 c3 21 1
p160 c4 21 1
p176 c4 21 1
p380 c4 21 1
p456 c4 21 1
p201 c1 22 1
p298 c2 22 1
p87 c3 22 1
p291 c3 22 1
p165 c1 23 1
p457 c1 23 1
p497 c1 23 1
p460 c4 23 1
p277 c1 24 1
p329 c1 24 1
p61 c1 25 1
p481 c1 25 1
p271 c3 25 1
p311 c3 25 1
p252 c4 25 1
p272 c4 25 1
p173 c1 26 1
p209 c1 26 1
p473 c1 26 1
p23 c3 26 1
p445 c1 27 1
p78 c2 27 1
p402 c2 27 1
p351 c3 27 1
p404 c4 27 1
p17 c1 28 1
p313 c1 28 1
p110 c2 28 1
p206 c2 28 1
p39 c3 28 1
p107 c3 28 1
p243 c3 28 1
p295 c3 28 1
p371 c3 28 1
p97 c1 29 1
p6 c2 29 1
p478 c2 29 1
p28 c4 29 1
p128 c4 29 1
p220 c4 29 1
p228 c4 29 1
p472 c4 29 1
p65 c1 30 1
p101 c1 30 1
p233 c1 30 1
p477 c1 30 1
p18 c2 30 1
p226 c2 30 1
p68 c4 30 1
p189 c1 31 1
p290 c2 31 1
p334 c2 31 1
p354 c2 31 1
p187 c3 31 1
p239 c3 31 1
p455 c3 31 1
p5 c1 32 1
p89 c1 32 1
p249 c1 32 1
p377 c1 32 1
p270 c2 32 1
p338 c2 32 1
p119 c3 32 1
p219 c3 32 1
p447 c3 32 1
p280 c4 32 1
p464 c4 32 1
p410 c2 33 1
p147 c3 33 1
p117 c1 34 1
p373 c1 34 1
p421 c1 34 1
p122 c2 34 1
p202 c2 34 1
p302 c2 34 1
p350 c2 34 1
p394 c2 34 1
p163 c3 34 1
p355 c3 34 1
p407 c3 34 1
p499 c3 34 1
p48 c4 34 1
p496 c4 34 1
p93 c1 35 1
p105 c1 35 1
p465 c1 35 1
p154 c2 35 1
p399 c3 35 1
p80 c4 35 1
p37 c1 36 1
p278 c2 36 1
p486 c2 36 1
p31 c3 36 1
p71 c3 36 1
p415 c3 36 1
p4 c4 36 1
p240 c4 36 1
p484 c4 36 1
p379 c3 37 1
p304 c4 37 1
p400 c4 37 1
p66 c2 38 1
p158 c2 38 1
p56 c4 38 1
p312 c4 38 1
p169 c1 39 1
p390 c2 39 1
p383 c3 39 1
p360 c4 39 1
p441 c1 40 1
p186 c2 40 1
p210 c2 40 1
p476 c4 40 1
p109 c1 41 1
p349 c1 41 1
p353 c1 41 1
p318 c2 41 1
p362 c2 41 1
p103 c3 41 1
p181 c1 42 1
p99 c3 42 1
p461 c1 43 1
p493 c1 43 1
p418 c2 43 1
p483 c3 43 1
p236 c4 43 1
p222 c2 44 1
p403 c3 44 1
p36 c4 44 1
p40 c4 44 1
p156 c4 44 1
p268 c4 44 1
p46 c2 45 1
p375 c3 45 1
p475 c3 45 1
p487 c3 45 1
p45 c1 46 1
p77 c1 46 1
p257 c1 46 1
p450 c2 46 1
p444 c4 46 1
p185 c1 47 1
p74 c2 47 1
p442 c2 47 1
p59 c3 47 1
p127 c3 47 1
p214 c2 48 1
p378 c2 48 1
p434 c2 48 1
p175 c3 48 1
p76 c4 48 1
p53 c1 49 1
p469 c1 49 1
p70 c2 49 1
p43 c3 49 1
p143 c3 49 1
p299 c3 49 1
p92 c4 49 1
p301 c1 50 1
p142 c2 50 1
p113 c1 51 1
p356 c4 51 1
p126 c2 52 1
p482 c2 52 1
p490 c2 52 1
p211 c3 52 1
p267 c3 52 1
p335 c3 52 1
p104 c4 52 1
p296 c4 52 1
p458 c2 53 1
p462 c2 53 1
p251 c3 53 1
p259 c3 53 1
p292 c4 53 1
p452 c4 53 1
p27 c3 54 1
p344 c4 54 1
p13 c1 55 1
p205 c1 55 1
p305 c1 55 1
p425 c1 55 1
p258 c2 55 1
p414 c2 55 1
p35 c3 55 1
p139 c3 55 1
p124 c4 55 1
p276 c4 55 1
p438 c2 56 1
p159 c3 56 1
p256 c4 56 1
p381 c1 57 1
p282 c2 57 1
p215 c3 57 1
p423 c3 57 1
p29 c1 58 1
p217 c1 58 1
p274 c2 58 1
p161 c1 59 1
p361 c1 59 1
p365 c1 59 1
p50 c2 59 1
p474 c2 59 1
p115 c3 59 1
p303 c3 59 1
p72 c4 59 1
p145 c1 60 1
p91 c3 60 1
p279 c3 60 1
p260 c4 60 1
p250 c2 61 1
p199 c3 61 1
p471 c3 61 1
p248 c4 61 1
p294 c2 62 1
p322 c2 62 1
p193 c1 63 1
p293 c1 63 1
p309 c1 63 1
p409 c1 63 1
p182 c2 63 1
p242 c2 63 1
p131 c3 64 1
p112 c4 64 1
p166 c2 65 1
p19 c3 65 1
p171 c3 65 1
p323 c3 65 1
p164 c4 65 1
p372 c4 65 1
p408 c4 65 1
p489 c1 66 1
p130 c2 66 1
p238 c2 66 1
p327 c3 66 1
p216 c4 67 1
p348 c4 67 1
p146 c2 68 1
p178 c2 68 1
p386 c2 68 1
p203 c3 68 1
p324 c4 68 1
p121 c1 69 1
p153 c1 69 1
p273 c1 69 1
p370 c2 69 1
p51 c3 69 1
p195 c3 69 1
p88 c4 69 1
p492 c4 69 1
p177 c1 70 1
p10 c2 70 1
p26 c2 70 1
p382 c2 70 1
p207 c3 70 1
p287 c3 70 1
p244 c4 70 1
p316 c4 70 1
p432 c4 70 1
p225 c1 71 1
p389 c1 71 1
p397 c1 71 1
p55 c3 71 1
p283 c3 71 1
p148 c4 71 1
p200 c4 71 1
p424 c4 71 1
p436 c4 71 1
p22 c2 72 1
p426 c2 72 1
p307 c3 72 1
p451 c3 72 1
p96 c4 72 1
p120 c4 72 1
p337 c1 73 1
p190 c2 73 1
p347 c3 73 1
p367 c3 73 1
p108 c4 73 1
p246 c2 74 1
p247 c3 74 1
p60 c4 74 1
p125 c1 75 1
p321 c1 75 1
p346 c2 75 1
p498 c2 75 1
p123 c3 75 1
p315 c3 75 1
p339 c3 75 1
p435 c3 75 1
p30 c2 76 1
p227 c3 76 1
p12 c4 76 1
p224 c4 76 1
p331 c3 77 1
p140 c4 77 1
p144 c4 77 1
p180 c4 77 1
p340 c4 77 1
p85 c1 78 1
p401 c1 78 1
p47 c3 78 1
p20 c4 78 1
p172 c4 78 1
p204 c4 78 1
p384 c4 79 1
p453 c1 80 1
p58 c2 80 1
p342 c2 80 1
p366 c2 80 1
p57 c1 81 1
p231 c3 81 1
p136 c4 81 1
p168 c4 81 1
p1 c1 82 1
p73 c1 82 1
p413 c1 82 1
p86 c2 82 1
p94 c2 82 1
p170 c2 82 1
p406 c2 82 1
p420 c4 82 1
p114 c2 83 1
p83 c3 83 1
p155 c3 83 1
p359 c3 83 1
p264 c4 83 1
p488 c4 83 1
p213 c1 84 1
p385 c1 84 1
p286 c2 84 1
p111 c3 84 1
p263 c3 84 1
p24 c4 84 1
p345 c1 85 1
p198 c2 85 1
p255 c3 85 1
p391 c3 85 1
p64 c4 85 1
p308 c4 85 1
p480 c4 85 1
p241 c1 86 1
p358 c2 86 1
p79 c3 86 1
p463 c3 86 1
p212 c4 86 1
p352 c4 86 1
p388 c4 86 1
p448 c4 86 1
p9 c1 87 1
p333 c1 87 1
p262 c2 87 1
p491 c3 87 1
p405 c1 88 1
p82 c2 88 1
p98 c2 88 1
p138 c2 88 1
p150 c2 88 1
p446 c2 88 1
p152 c4 88 1
p430 c2 89 1
p95 c3 89 1
p208 c4 89 1
p25 c1 90 1
p81 c1 90 1
p34 c2 90 1
p306 c2 90 1
p467 c3 90 1
;

param FMAX := 1 ;
param FMIN := 0 ;
param TAD := 0 ;
param TLS := 1 ;
