# Auto-generated large-scale trimester data
# 250 patients over 90-day trimester, time horizon 120

set c := c1 c2 c3 c4;
set h := h1 h2 h3 h4;
set j := j1 j2;
set m := m1 m2 m3 m4 m5 m6;
set p := p229 p162 p179 p32 p149 p183 p223 p21 p3 p15 p14 p102 p235 p49 p63 p133 p100 p188 p232 p141 p221 p62 p106 p194 p234 p237 p230 p84 p54 p67 p191 p192 p42 p11 p16 p132 p69 p44 p41 p167 p8 p157 p2 p134 p151 p184 p218 p52 p197 p245 p196 p129 p118 p7 p116 p38 p174 p135 p33 p137 p90 p75 p160 p176 p201 p87 p165 p61 p173 p209 p23 p78 p17 p110 p206 p39 p107 p243 p97 p6 p28 p128 p220 p228 p65 p101 p233 p18 p226 p68 p189 p187 p239 p5 p89 p249 p119 p219 p147 p117 p122 p202 p163 p48 p93 p105 p154 p80 p37 p31 p71 p4 p240 p66 p158 p56 p169 p186 p210 p109 p103 p181 p99 p236 p222 p36 p40 p156 p46 p45 p77 p185 p74 p59 p127 p214 p175 p76 p53 p70 p43 p143 p92 p142 p113 p126 p211 p104 p27 p13 p205 p35 p139 p124 p159 p215 p29 p217 p161 p50 p115 p72 p145 p91 p250 p199 p248 p193 p182 p242 p131 p112 p166 p19 p171 p164 p130 p238 p216 p146 p178 p203 p121 p153 p51 p195 p88 p177 p10 p26 p207 p244 p225 p55 p148 p200 p22 p96 p120 p190 p108 p246 p247 p60 p125 p123 p30 p227 p12 p224 p140 p144 p180 p85 p47 p20 p172 p204 p58 p57 p231 p136 p168 p1 p73 p86 p94 p170 p114 p83 p155 p213 p111 p24 p198 p64 p241 p79 p212 p9 p82 p98 p138 p150 p152 p95 p208 p25 p81 p34;

param CIM :=
m1 2216.13
m2 16621.00
m3 5540.33
m4 2216.13
m5 16621.00
m6 5540.33
;

param CVM :=
m1 20920
m2 156900
m3 52300
m4 20920
m5 156900
m6 52300
;

param FCAP :=
m1 4
m2 31
m3 10
m4 4
m5 31
m6 10
;

param TT1 :=
j1 1
j2 2
;

param TT3 :=
j1 1
j2 2
;

param U1 :=
p41 c1 14 1
p167 c3 14 1
p8 c4 14 1
p157 c1 15 1
p2 c2 15 1
p134 c2 15 1
p151 c3 15 1
p184 c4 15 1
p218 c2 16 1
p52 c4 16 1
p197 c1 17 1
p245 c1 17 1
p196 c4 17 1
p129 c1 18 1
p118 c2 18 1
p7 c3 18 1
p116 c4 19 1
p38 c2 20 1
p174 c2 20 1
p135 c3 20 1
p33 c1 21 1
p137 c1 21 1
p90 c2 21 1
p75 c3 21 1
p160 c4 21 1
p176 c4 21 1
p201 c1 22 1
p87 c3 22 1
p165 c1 23 1
p61 c1 25 1
p173 c1 26 1
p209 c1 26 1
p23 c3 26 1
p78 c2 27 1
p17 c1 28 1
p110 c2 28 1
p206 c2 28 1
p39 c3 28 1
p107 c3 28 1
p243 c3 28 1
p97 c1 29 1
p6 c2 29 1
p28 c4 29 1
p128 c4 29 1
p220 c4 29 1
p228 c4 29 1
p65 c1 30 1
p101 c1 30 1
p233 c1 30 1
p18 c2 30 1
p226 c2 30 1
p68 c4 30 1
p189 c1 31 1
p187 c3 31 1
p239 c3 31 1
p5 c1 32 1
p89 c1 32 1
p249 c1 32 1
p119 c3 32 1
p219 c3 32 1
p147 c3 33 1
p117 c1 34 1
p122 c2 34 1
p202 c2 34 1
p163 c3 34 1
p48 c4 34 1
p93 c1 35 1
p105 c1 35 1
p154 c2 35 1
p80 c4 35 1
p37 c1 36 1
p31 c3 36 1
p71 c3 36 1
p4 c4 36 1
p240 c4 36 1
p66 c2 38 1
p158 c2 38 1
p56 c4 38 1
p169 c1 39 1
p186 c2 40 1
p210 c2 40 1
p109 c1 41 1
p103 c3 41 1
p181 c1 42 1
p99 c3 42 1
p236 c4 43 1
p222 c2 44 1
p36 c4 44 1
p40 c4 44 1
p156 c4 44 1
p46 c2 45 1
p45 c1 46 1
p77 c1 46 1
p185 c1 47 1
p74 c2 47 1
p59 c3 47 1
p127 c3 47 1
p214 c2 48 1
p175 c3 48 1
p76 c4 48 1
p53 c1 49 1
p70 c2 49 1
p43 c3 49 1
p143 c3 49 1
p92 c4 49 1
p142 c2 50 1
p113 c1 51 1
p126 c2 52 1
p211 c3 52 1
p104 c4 52 1
p27 c3 54 1
p13 c1 55 1
p205 c1 55 1
p35 c3 55 1
p139 c3 55 1
p124 c4 55 1
p159 c3 56 1
p215 c3 57 1
p29 c1 58 1
p217 c1 58 1
p161 c1 59 1
p50 c2 59 1
p115 c3 59 1
p72 c4 59 1
p145 c1 60 1
p91 c3 60 1
p250 c2 61 1
p199 c3 61 1
p248 c4 61 1
p193 c1 63 1
p182 c2 63 1
p242 c2 63 1
p131 c3 64 1
p112 c4 64 1
p166 c2 65 1
p19 c3 65 1
p171 c3 65 1
p164 c4 65 1
p130 c2 66 1
p238 c2 66 1
p216 c4 67 1
p146 c2 68 1
p178 c2 68 1
p203 c3 68 1
p121 c1 69 1
p153 c1 69 1
p51 c3 69 1
p195 c3 69 1
p88 c4 69 1
p177 c1 70 1
p10 c2 70 1
p26 c2 70 1
p207 c3 70 1
p244 c4 70 1
p225 c1 71 1
p55 c3 71 1
p148 c4 71 1
p200 c4 71 1
p22 c2 72 1
p96 c4 72 1
p120 c4 72 1
p190 c2 73 1
p108 c4 73 1
p246 c2 74 1
p247 c3 74 1
p60 c4 74 1
p125 c1 75 1
p123 c3 75 1
p30 c2 76 1
p227 c3 76 1
p12 c4 76 1
p224 c4 76 1
p140 c4 77 1
p144 c4 77 1
p180 c4 77 1
p85 c1 78 1
p47 c3 78 1
p20 c4 78 1
p172 c4 78 1
p204 c4 78 1
p58 c2 80 1
p57 c1 81 1
p231 c3 81 1
p136 c4 81 1
p168 c4 81 1
p1 c1 82 1
p73 c1 82 1
p86 c2 82 1
p94 c2 82 1
p170 c2 82 1
p114 c2 83 1
p83 c3 83 1
p155 c3 83 1
p213 c1 84 1
p111 c3 84 1
p24 c4 84 1
p198 c2 85 1
p64 c4 85 1
p241 c1 86 1
p79 c3 86 1
p212 c4 86 1
p9 c1 87 1
p82 c2 88 1
p98 c2 88 1
p138 c2 88 1
p150 c2 88 1
p152 c4 88 1
p95 c3 89 1
p208 c4 89 1
p25 c1 90 1
p81 c1 90 1
p34 c2 90 1
;

param FMAX := 1 ;
param FMIN := 0 ;
param TAD := 0 ;
param TLS := 1 ;
