day,facility,free_slots,n_start,n_waiting,contested,fifo,survival_index,adaptive_mpc,agree_index_vs_mpc,agree_fifo_vs_mpc,obj_mpc_choice,obj_index_choice
66,m3,1,1,14,True,p38r3,p21r1,p21r1,True,False,,
67,m1,2,2,7,True,p14r3|p32r3,p15r0|p36r1,p15r0|p36r1,True,False,,
67,m3,1,1,16,True,p38r3,p30r2,p30r2,True,False,,
68,m3,1,1,18,True,p38r3,p11r1,p11r1,True,False,,
69,m1,1,1,6,True,p14r3,p13r2,p13r2,True,False,,
69,m3,2,2,18,True,p38r3|p49r2,p11r0|p16r0,p11r0|p16r0,True,False,,
70,m3,2,2,18,True,p38r3|p49r2,p42r0|p9r0,p42r0|p9r0,True,False,,
71,m1,1,1,7,True,p14r3,p13r1,p13r1,True,False,,
71,m3,1,1,22,True,p38r3,p48r1,p48r1,True,False,,
72,m3,2,2,25,True,p38r3|p49r2,p48r0|p48r2,p48r0|p48r2,True,False,,
73,m3,1,1,27,True,p38r3,p48r3,p48r3,True,False,,
74,m1,2,2,10,True,p14r3|p32r3,p35r3|p44r0,p35r3|p44r0,True,False,,
74,m3,1,1,31,True,p38r3,p13r0,p13r0,True,False,,
75,m3,1,1,30,True,p38r3,p34r1,p34r1,True,False,,
76,m1,1,1,12,True,p14r3,p44r2,p44r2,True,False,,
76,m3,2,2,30,True,p38r3|p49r2,p39r2|p44r1,p39r2|p44r1,True,False,,
77,m3,2,2,32,True,p38r3|p49r2,p18r1|p18r3,p18r1|p39r3,False,False,0.09531743093006806,0.09531743093006806
78,m1,1,1,14,True,p14r3,p37r2,p37r2,True,False,,
78,m3,1,1,32,True,p38r3,p37r0,p37r0,True,False,,
79,m3,2,2,34,True,p38r3|p49r2,p18r0|p44r3,p18r2|p44r3,False,False,0.15324436701660882,0.15324436701660882
80,m3,1,1,32,True,p38r3,p18r2,p18r2,True,False,,
81,m1,2,2,15,True,p14r3|p32r3,p13r3|p37r1,p13r3|p37r1,True,False,,
81,m3,1,1,31,True,p38r3,p39r0,p39r0,True,False,,
82,m3,1,1,30,True,p38r3,p39r1,p39r1,True,False,,
83,m1,1,1,14,True,p14r3,p37r3,p37r3,True,False,,
83,m3,2,2,29,True,p38r3|p49r2,p39r3|p42r1,p39r3|p42r1,True,False,,
84,m3,2,2,27,True,p38r3|p49r2,p11r2|p11r3,p11r3|p42r3,False,False,0.06609322398205697,0.06609322398205697
85,m1,1,1,13,True,p14r3,p15r3,p15r3,True,False,,
85,m3,1,1,25,True,p38r3,p42r2,p42r3,False,False,0.041748270227900286,0.041748270227900286
86,m3,2,2,24,True,p38r3|p49r2,p17r2|p42r3,p42r3|p45r0,False,False,0.03195175469547862,0.03195175469547862
87,m3,1,1,23,True,p38r3,p48r1,p48r1,True,False,,
88,m1,2,2,16,True,p14r3|p32r3,p13r1|p24r0,p13r1|p24r0,True,False,,
88,m3,1,1,23,True,p38r3,p47r0,p47r0,True,False,,
89,m3,1,1,24,True,p38r3,p47r3,p47r3,True,False,,
90,m1,1,1,15,True,p14r3,p35r3,p35r3,True,False,,
90,m3,2,2,23,True,p38r3|p49r2,p27r2|p45r0,p27r2|p45r0,True,False,,
91,m3,2,2,22,True,p38r3|p49r2,p47r2|p9r1,p47r2|p9r1,True,False,,
92,m1,1,1,15,True,p14r3,p47r1,p47r1,True,False,,
92,m3,1,1,20,True,p38r3,p9r3,p9r3,True,False,,
93,m3,2,2,19,True,p38r3|p49r2,p17r3|p45r1,p17r3|p45r1,True,False,,
94,m3,1,1,17,True,p38r3,p26r1,p26r1,True,False,,
95,m1,2,2,14,True,p14r3|p32r3,p24r1|p24r3,p24r1|p24r3,True,False,,
95,m3,1,1,16,True,p38r3,p17r1,p17r1,True,False,,
96,m3,1,1,15,True,p38r3,p26r3,p26r3,True,False,,
97,m1,1,1,12,True,p14r3,p24r2,p24r2,True,False,,
97,m3,2,2,14,True,p38r3|p49r2,p17r0|p23r0,p17r0|p23r0,True,False,,
98,m3,2,2,12,True,p38r3|p49r2,p26r0|p9r2,p26r0|p9r2,True,False,,
99,m1,1,1,11,True,p14r3,p40r2,p40r2,True,False,,
99,m3,1,1,10,True,p38r3,p23r1,p23r1,True,False,,
100,m3,2,2,9,True,p38r3|p49r2,p20r0|p20r1,p20r0|p20r1,True,False,,
101,m3,1,1,7,True,p38r3,p20r2,p20r2,True,False,,
102,m1,2,2,10,True,p14r3|p32r3,p27r0|p27r1,p27r0|p27r1,True,False,,
102,m3,1,1,6,True,p38r3,p20r3,p20r3,True,False,,
103,m3,1,1,5,True,p38r3,p3r3,p3r3,True,False,,
104,m1,1,1,8,True,p14r3,p27r3,p27r3,True,False,,
104,m3,2,2,4,True,p38r3|p49r2,p33r1|p49r1,p33r1|p49r1,True,False,,
105,m3,2,2,2,False,p38r3|p49r2,p38r3|p49r2,p38r3|p49r2,True,True,,
106,m1,1,1,7,True,p14r3,p45r2,p45r2,True,False,,
106,m3,1,1,1,False,p47r3,p47r3,p47r3,True,True,,
109,m1,2,2,6,True,p14r3|p32r3,p26r2|p45r3,p26r2|p45r3,True,False,,
111,m1,1,1,4,True,p14r3,p23r2,p23r2,True,False,,
111,m3,7,1,1,False,p26r1,p26r1,p26r1,True,True,,
113,m1,1,1,3,True,p14r3,p23r3,p23r3,True,False,,
116,m1,2,2,3,True,p14r3|p32r3,p24r2|p32r3,p24r2|p32r3,True,False,,
118,m1,1,1,1,False,p14r3,p14r3,p14r3,True,True,,
118,m3,10,1,1,False,p20r2,p20r2,p20r2,True,True,,
130,m1,4,1,1,False,p23r3,p23r3,p23r3,True,True,,
