day,facility,free_slots,n_start,n_waiting,contested,fifo,survival_index,adaptive_mpc,agree_index_vs_mpc,agree_fifo_vs_mpc,obj_mpc_choice,obj_index_choice
66,m3,1,1,50,True,p25r1,p18r3,p18r3,True,False,,
67,m3,1,1,49,True,p25r1,p39r2,p39r2,True,False,,
68,m1,1,1,25,True,p25r2,p15r3,p15r3,True,False,,
68,m3,2,2,51,True,p25r1|p38r1,p47r0|p47r3,p47r0|p47r3,True,False,,
69,m3,3,3,49,True,p25r1|p38r1|p38r2,p11r2|p11r3|p42r1,p11r3|p42r1|p42r2,False,False,0.10265088720806914,0.10265088720806914
70,m1,1,1,25,True,p25r2,p47r1,p47r1,True,False,,
70,m3,1,1,47,True,p25r1,p47r2,p47r2,True,False,,
71,m3,2,2,46,True,p25r1|p38r1,p11r2|p42r3,p11r2|p42r3,True,False,,
73,m1,2,2,24,True,p25r2|p25r3,p24r0|p24r1,p24r0|p24r3,False,False,0.05141903295954853,0.05141903295954853
73,m3,1,1,44,True,p25r1,p11r0,p11r0,True,False,,
74,m3,1,1,43,True,p25r1,p36r3,p36r3,True,False,,
75,m1,1,1,23,True,p25r2,p44r2,p44r2,True,False,,
75,m3,2,2,42,True,p25r1|p38r1,p30r1|p30r2,p30r1|p40r3,False,False,0.05902753031610031,0.05902753031610031
76,m3,3,3,40,True,p25r1|p38r1|p38r2,p17r2|p27r2|p30r2,p27r2|p30r2|p45r0,False,False,0.03347433989823989,0.03347433989823989
77,m1,1,1,23,True,p25r2,p13r3,p13r3,True,False,,
77,m3,1,1,37,True,p25r1,p17r2,p17r2,True,False,,
78,m3,2,2,36,True,p25r1|p38r1,p17r3|p9r1,p17r3|p9r3,False,False,0.01693834973072117,0.01693834973072117
80,m1,2,2,22,True,p25r2|p25r3,p24r1|p24r2,p24r1|p24r2,True,False,,
80,m3,1,1,35,True,p25r1,p18r0,p18r0,True,False,,
81,m3,1,1,34,True,p25r1,p9r1,p9r1,True,False,,
82,m1,1,1,20,True,p25r2,p36r1,p36r1,True,False,,
82,m3,2,2,33,True,p25r1|p38r1,p26r1|p45r1,p26r1|p45r1,True,False,,
83,m3,3,3,31,True,p25r1|p38r1|p38r2,p17r1|p26r3|p9r0,p17r0|p17r1|p9r0,False,False,0.02062592086278703,0.02062592086278703
84,m1,1,1,19,True,p25r2,p40r0,p40r0,True,False,,
84,m3,1,1,28,True,p25r1,p26r3,p26r3,True,False,,
85,m3,2,2,27,True,p25r1|p38r1,p23r0|p9r2,p23r0|p9r2,True,False,,
87,m1,2,2,18,True,p25r2|p25r3,p22r3|p40r2,p22r3|p40r2,True,False,,
87,m3,1,1,25,True,p25r1,p26r0,p26r0,True,False,,
88,m3,1,1,24,True,p25r1,p23r1,p23r1,True,False,,
89,m1,1,1,16,True,p25r2,p27r0,p27r1,False,False,0.007528991714275124,0.007528991714275124
89,m3,2,2,23,True,p25r1|p38r1,p20r0|p20r1,p20r0|p20r1,True,False,,
90,m3,3,3,21,True,p25r1|p38r1|p38r2,p20r2|p20r3|p31r2,p20r2|p20r3|p31r2,True,False,,
91,m1,1,1,15,True,p25r2,p27r0,p27r0,True,False,,
91,m3,1,1,18,True,p25r1,p31r3,p31r3,True,False,,
92,m3,2,2,17,True,p25r1|p38r1,p3r0|p3r1,p3r0|p3r3,False,False,0.01661067895121715,0.01661067895121715
94,m1,2,2,15,True,p25r2|p25r3,p13r3|p27r3,p13r3|p27r3,True,False,,
94,m3,1,1,15,True,p25r1,p3r1,p3r2,False,False,0.019341263855635726,0.019341263855635726
95,m3,1,1,14,True,p25r1,p3r1,p3r1,True,False,,
96,m1,1,1,13,True,p25r2,p45r2,p45r2,True,False,,
96,m3,2,2,13,True,p25r1|p38r1,p33r0|p33r3,p33r0|p33r3,True,False,,
97,m3,3,3,11,True,p25r1|p38r1|p38r2,p33r1|p49r1|p49r2,p33r1|p49r1|p49r2,True,False,,
98,m1,1,1,12,True,p25r2,p45r3,p45r3,True,False,,
98,m3,1,1,8,True,p25r1,p49r0,p49r0,True,False,,
99,m3,2,2,7,True,p25r1|p38r1,p14r0|p14r1,p14r0|p14r1,True,False,,
101,m1,2,2,11,True,p25r2|p25r3,p23r2|p26r2,p23r2|p26r2,True,False,,
101,m3,1,1,5,True,p25r1,p25r0,p25r0,True,False,,
102,m3,1,1,4,True,p25r1,p38r1,p38r2,False,False,0.010931691558449419,0.010931691558449419
103,m1,1,1,9,True,p25r2,p23r3,p23r3,True,False,,
103,m3,2,2,3,True,p25r1|p38r1,p38r1|p38r3,p38r1|p38r3,True,False,,
104,m3,3,1,1,False,p25r1,p25r1,p25r1,True,True,,
105,m1,1,1,9,True,p25r2,p40r2,p40r2,True,False,,
108,m1,2,2,8,True,p25r2|p25r3,p32r1|p32r2,p32r1|p32r2,True,False,,
110,m1,1,1,6,True,p25r2,p32r3,p32r3,True,False,,
112,m1,1,1,5,True,p25r2,p32r0,p32r0,True,False,,
115,m1,2,2,4,True,p25r2|p25r3,p14r2|p33r2,p14r2|p33r2,True,False,,
117,m1,1,1,2,True,p25r2,p25r3,p25r3,True,False,,
119,m1,1,1,2,True,p25r2,p23r2,p23r2,True,False,,
122,m1,2,1,1,False,p25r2,p25r2,p25r2,True,True,,
